,state,x,y
2,Arizona,-203,-40
3,Arkansas,57,-53
6,Connecticut,297,96
7,Delaware,275,42
9,Georgia,182,-75
10,Hawaii,-317,-143
11,Idaho,-216,122
13,Indiana,133,39
14,Iowa,38,65
15,Kansas,-17,5
17,Louisiana,59,-114
19,Maryland,288,27
20,Massachusetts,312,112
22,Minnesota,23,135
24,Missouri,49,6
25,Montana,-141,150
27,Nevada,-257,56
28,New Hampshire,302,127
30,New Mexico,-128,-43
32,North Carolina,239,-22
33,North Dakota,-44,158
35,Oklahoma,-8,-41
38,Rhode Island,318,94
39,South Carolina,218,-51
40,South Dakota,-44,109
41,Tennessee,131,-34
43,Utah,-189,34
44,Vermont,282,154
48,Wisconsin,83,113
49,Wyoming,-134,90
